City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Forecast
171,Khatanga,RU,2021-04-04 21:31:57,71.9667,102.5,-11.47,85,10,9.28,clear sky
172,Yanam,IN,2021-04-04 21:31:57,16.7333,82.2167,76.35,96,75,3.13,broken clouds
173,Saldanha,ZA,2021-04-04 21:31:58,-33.0117,17.9442,64.4,88,11,6.91,few clouds
174,Sao Filipe,CV,2021-04-04 21:26:59,14.8961,-24.4956,74.37,71,11,8.37,few clouds
175,Kalmar,SE,2021-04-04 21:31:58,56.6616,16.3616,44.6,70,100,17.27,overcast clouds
176,Mao,ES,2021-04-04 21:31:58,39.8885,4.2658,53.6,94,20,6.91,few clouds
177,Bereda,ES,2021-04-04 21:31:59,43.2686,-7.5406,44.01,98,15,8.01,few clouds
178,Okhotsk,RU,2021-04-04 21:31:59,59.3833,143.3,20.79,93,100,3.65,light snow
179,Canakkale,TR,2021-04-04 21:31:59,40.0833,26.8333,51.8,82,75,12.66,light rain
180,Atuona,PF,2021-04-04 21:30:55,-9.8,-139.0333,80.87,79,69,9.95,broken clouds
181,Alugan,PH,2021-04-04 21:32:00,12.2188,125.4808,80.65,68,100,10.58,overcast clouds
182,Fairbanks,US,2021-04-04 21:32:00,64.8378,-147.7164,34.0,80,75,14.97,light rain
183,Karratha,AU,2021-04-04 21:32:00,-20.7377,116.8463,80.73,46,7,6.22,clear sky
184,Neiafu,TO,2021-04-04 21:32:01,-18.65,-173.9833,78.8,89,75,4.61,broken clouds
185,Eucaliptus,BO,2021-04-04 21:32:01,-17.5833,-67.5167,53.37,51,100,9.22,overcast clouds
186,Perbaungan,ID,2021-04-04 21:32:02,3.5679,98.956,78.8,100,40,4.59,haze
187,Dongying,CN,2021-04-04 21:32:02,37.4564,118.4856,47.35,36,2,4.97,clear sky
188,Berlevag,NO,2021-04-04 21:32:02,70.8578,29.0864,34.99,97,100,9.4,light snow
189,Provideniya,RU,2021-04-04 21:32:03,64.3833,-173.3,5.0,61,0,4.45,clear sky
190,Ulaanbaatar,MN,2021-04-04 21:32:03,47.9077,106.8832,21.2,73,0,2.59,clear sky
